"Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_KDS_MODUL","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_NAME","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_DESCRIPTION","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_EXAMPLE","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_FHIR_ELEMENT","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_PATH_IN_SOURCE_SYSTEM_VNA","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_IS_AVAILABLE_IN_VNA","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_IS_AVAILABLE_IN_DIZ","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_AVAILABLE_SINCE","Reference","URL"
"Fall","Fallnummer","ORBIS Fallnummer oder pseudonymisierte bzw. anonymisierte Fallnummer","12345678","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Fallnummer.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Fallnummer/"
"Fall","Fallart","Art der Aufnahme (z. B. ambulant, stationären, vorstationär,...)","AMB | IMP | vorstationär","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Fallart.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Fallart/"
"Fall","Fachabteilung","Fachabteilungskürzel","NEU","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Fachabteilung.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Fachabteilung/"
"Fall","Fachabteilungsschlüssel","Fachabteilungsschlüssel nach §301 Abs. 3 SGB V.","0800","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Fachabteilungsschlüssel.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Fachabteilungsschl%C3%BCssel/"
"Fall","Patientenidentifikationsnummer (PID)","ORBIS PID oder pseudonymisierte bzw. anonymisierte PID","599999","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Patientenidentifikationsnummer (PID).WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Patientenidentifikationsnummer%20%28PID%29/"
"Fall","Aufnahmeanlass","Anlass des Krankenhausaufenthalts (z.B. Einweisung durch Arzt, Notfall, Geburt, ...)","E","emptyvalue","emptyvalue","1","1","für stationäre Fälle ab 2002 und ambulante Fälle: ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Aufnahmeanlass.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Aufnahmeanlass/"
"Fall","Entlassgrund","Entlassgrund/Verlegungsgrund nach § 301 Abs. 3 SGB V.","011","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Entlassgrund.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Entlassgrund/"
"Fall"," Aufnahmegrund_erste_und_zweite_Stelle","Aufnahmegrund nach nach § 301 Abs. 3 SGB V. (01 = Krankenhausbehandlung, vollstationär, 06 = Geburt) nur für stationäre Fall","01","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Aufnahmegrund_erste_und_zweite_Stelle.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Aufnahmegrund_erste_und_zweite_Stelle/"
"Fall","Fallstatus","Den aktuellen Zustand des Patietenkontaktes","finished | in-progress | cancelled","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Fallstatus.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Fallstatus/"
"Fall"," Aufnahmegrund_dritte_Stelle","Aufnahmegrund nach nach § 301 Abs. 3 SGB V. (z.B. 0 = Anderes, 2= Zuständigkeitswechsel des Kostenträgers ) nur für stationäre Fall","2","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Aufnahmegrund_dritte_Stelle.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Aufnahmegrund_dritte_Stelle/"
