,swl_code,swl_description,swl_unit,belongs_to,swl_metacode,swl_source,code,code_long_name,code_system,version,ucum_unit,validated
0,ZYLP,Zylinder (Urin),/µl,Urinsediment,emptyvalue,emptyvalue,88977-4,Epithelial casts [#/area] in Urine sediment,http://loinc.org,2.42,/uL,X
1,ZUCL,Zuclopenthixol [Fremdlabor],ng/ml,Psychopharmaka,emptyvalue, ,3496-7,Clopenthixol [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,ng/mL,X
2,ZT,Zyklustag, , ,emptyvalue, , , ,emptyvalue, , ,emptyvalue
3,ZOPI,Zopiclon [Fremdlabor],ng/ml,#NV,emptyvalue,emptyvalue,80554-9	,Zopiclone [Mass/volume] in Serum or Plasma,http://loinc.org,2.56,ng/mL,X
4,ZONIFV,Zonisamid [Fremdlabor],mg/l,emptyvalue,emptyvalue,emptyvalue,29620-2,Zonisamide [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/L,X
5,ZONI,Zonisamid,mg/l,Psychopharmaka,emptyvalue,emptyvalue,29620-2,Zonisamide [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/L,X
6,ZNT8AK,Zinktransporter 8-Autoantikörper [Fremdlabor],Ratio,Diabetes Mellitus assoziierte Autoantikörper,emptyvalue,emptyvalue,76651-9,Zinc transporter 8 Ab [Units/volume] in Serum or Plasma by Immunoassay,emptyvalue,2.68,&#123;ratio},emptyvalue
7,ZN,Zink  [Fremdlabor],µg/dl,Klinische Chemie,emptyvalue,emptyvalue,10918-1,Zinc [Mass/volume] in Specimen,http://loinc.org,2.69,ug/dL,X
8,ZKT,Virusnachweis,emptyvalue,Virologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
10,ZIRKC,"Zirkulierende Immunkomplexe, C1q bindend",RE/ml,Proteindiagnostik,emptyvalue,emptyvalue,27831-7,Immune complex [Units/volume] in Serum or Plasma by C1q binding assay,http://loinc.org,2.73,[arb'U]/mL,X
12,ZIRK,Zirkulierende Immunkomplexe [Fremdlabor],emptyvalue,Proteindiagnostik,emptyvalue,emptyvalue,44393-7,Immune complex [Presence] in Serum or Plasma,http://loinc.org,2.56,emptyvalue,X
13,ZIPR,Ziprasidon [Fremdlabor],µg/l,Psychopharmaka,emptyvalue,emptyvalue,33946-5,Ziprasidone [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
14,ZIKPCR,Zikavirus,emptyvalue,Virologie,emptyvalue,emptyvalue,79190-5,Zika virus RNA [Presence] in Specimen by NAA with probe detection,http://loinc.org,2.73,emptyvalue,X
15,ZIKMW,Zika-Virus IgM Antikörper,Ratio,Virologie,emptyvalue,emptyvalue,80824-6	,Zika virus IgM Ab [Presence] in Serum or Plasma by Immunoassay,http://loinc.org,2.73,&#123;ratio},X
17,ZIKM,Zika-Virus IgM Antikörper,emptyvalue,Virologie,emptyvalue,emptyvalue,80824-6,Zika virus IgM Ab [Presence] in Serum or Plasma by Immunoassay,http://loinc.org,2.73,emptyvalue,X
18,ZIKGW,Zika-Virus IgG Antikörper,RE/ml,Virologie,emptyvalue,emptyvalue,97870-0,Zika virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.70,emptyvalue,X
19,ZIKG,Zika-Virus IgG Antikörper,emptyvalue,Virologie,emptyvalue,emptyvalue,91080-2,Zika virus IgG Ab [Presence] in Serum or Plasma by Immunoassay,http://loinc.org,2.65,emptyvalue,X
21,ZIC4B,"Zic4, Ak geg.",emptyvalue,Paraneoplasie assoziierte Autoantikörper,emptyvalue,emptyvalue,101229-3,Zinc finger protein of the cerebellum 4 Ab [Presence] in Serum by Immunoblot,http://loinc.org,2.75,emptyvalue,X
33,yUpro,Protein Tagesausscheidung,mg/d,Urinchemie,emptyvalue,emptyvalue,2889-4,Protein [Mass/time] in 24 hour Urine,http://loinc.org,2.70,mg/(24.h),X
35,YOB,"Purkinjezellen (Yo), Ak geg.",emptyvalue,Paraneoplasie assoziierte Autoantikörper,emptyvalue,emptyvalue,12853-8,Purkinje cells Ab [Presence] in Serum by Immunoblot,http://loinc.org,2.58,emptyvalue,X
37,YO,"Yo, Ak geg.",Titer,Paraneoplasie assoziierte Autoantikörper,emptyvalue,emptyvalue,94702-8,PCA-1 Ab [Titer] in Serum by Immunofluorescence,http://loinc.org,2.68,&#123;titer},X
39,yLIGA,IgA (Liquor),mg/dl,Liquordiagnostik,emptyvalue,emptyvalue,2457-0,IgA [Mass/volume] in Cerebral spinal fluid,http://loinc.org,2.40,mg/dL,X
40,YEIGW,Yersinien IgG (Y. enterocolitica),RE/ml,Bakteriologie,emptyvalue,emptyvalue,6965-8,Yersinia enterocolitica IgG Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.73,[arb'U]/mL,X
43,YEIGM,Yersinien IgM (Y. enterocolitica),IU/ml,Bakteriologie,emptyvalue,emptyvalue,6966-6,Yersinia enterocolitica IgM Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.69,[arb'U]/mL,X
44,YEIGG,Yersinien IgG (Y. enterocolitica),IU/ml,Bakteriologie,emptyvalue,emptyvalue,6965-8,Yersinia enterocolitica IgG Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.69,[arb'U]/mL,X
47,YEIGA,Yersinien IgA (Y. enterocolitica),IU/ml,Bakteriologie,emptyvalue,emptyvalue,6964-1,Yersinia enterocolitica IgA Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.69,[arb'U]/mL,X
50,YEIAW,Yersinien IgA (Y. enterocolitica),Ratio,Bakteriologie,emptyvalue,emptyvalue,6964-1,Yersinia enterocolitica IgA Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.73,[arb'U]/mL,X
51,yB12,Vitamin B12,ng/l,Vitamine,emptyvalue,emptyvalue,2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ng/L,X
54,YARSB,"YARS (Ha),  Ak geg. [Fremdlabor]",emptyvalue,Myositis-assoziierte Autoantikörper,emptyvalue,emptyvalue,82415-1,Ha Ab [Presence] in Serum by Line blot,http://loinc.org,2.66,emptyvalue,X
55,XyloZ,Xylose Test,emptyvalue,#NV,emptyvalue,emptyvalue,44085-9,Xylose absorption [Interpretation] in Urine and Serum or Plasma,http://loinc.org,2.38,emptyvalue,X
56,XYL,Xylol [Fremdlabor],µg/l,Toxikologie Sonstiges,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,emptyvalue
57,xUPOR,Porphobilinogen (Urin) [Fremdlabor],ug/l,Urinchemie,emptyvalue,emptyvalue,27382-1,Porphobilinogen [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,ug/L,X
58,xUpor,Porphobilinogen (Urin) [Fremdlabor],ug/d,Urinchemie,emptyvalue,emptyvalue,2810-0,Porphobilinogen [Mass/time] in 24 hour Urine,http://loinc.org,2.42,mg/(24.h),X
59,xUNAG,NAG (Urin) [Fremdlabor],U/g Krea,Urinchemie,emptyvalue,emptyvalue,48995-5,N-acetyl-beta-glucosaminidase/Creatinine [Ratio] in Urine,http://loinc.org,2.70,U/g&#123;creat},X
60,xULAM,"Lambda-LK, frei + geb. (Urin)",mg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
61,xUKAP,"Kappa-LK, frei + geb. (Urin)",mg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
62,xUkap,"Kappa-LK, frei + geb. (Urin)",mg/d,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
63,xUCU,Kupfer (Urin),µmol/l,Urinchemie,emptyvalue,emptyvalue,25879-8,Copper [Moles/volume] in 24 hour Urine,http://loinc.org,2.34,umol/L,X
64,xUALS,delta-Aminolävulinsäure (Urin) [Fremdlabor],ug/l,Urinchemie,emptyvalue,emptyvalue,26974-6,Delta aminolevulinate [Mass/volume] in 24 hour Urine,http://loinc.org,2.70,ug/L,X
65,xUals,delta-Aminolävulinsäure (Urin) [Fremdlabor],ug/d,Urinchemie,emptyvalue,emptyvalue,2200-4,Delta aminolevulinate [Mass/time] in 24 hour Urine,http://loinc.org,2.42,ug/(24.h),X
66,xTPVS,Trep. pallidum  -VDRL,Titer,Bakteriologie,emptyvalue,emptyvalue,50690-7,Reagin Ab [Titer] in Serum by VDRL,http://loinc.org,2.75,&#123;titer},X
67,xTPVL,Trep. pallidum  -VDRL,Titer,Bakteriologie,emptyvalue,emptyvalue,31146-4,Reagin Ab [Titer] in Cerebral spinal fluid by VDRL,http://loinc.org,2.75,&#123;titer},X
69,xPLEU,Leukozyten (Punktat),G/l,Hämatologie Sonstiges,emptyvalue,emptyvalue,57845-0,Leukocytes [#/volume] in Body fluid by Automated count,http://loinc.org,2.70,10*9/L,X
70,xPERY,Erythrozyten (Punktat),T/l,Hämatologie Sonstiges,emptyvalue,emptyvalue,26455-6,Erythrocytes [#/volume] in Body fluid,http://loinc.org,2.65,10*12/uL,X
71,xLERY,Erythrozyten (Liquor),T/l,Liquordiagnostik,emptyvalue,emptyvalue,26454-9,Erythrocytes [#/volume] in Cerebral spinal fluid,http://loinc.org,2.42,10*12/uL,X
72,xLAGW,Altersbezogener Grenzwert,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
73,xIGF1,IGF-1,µg/l,Hormone,emptyvalue,emptyvalue,2484-4,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
74,xHBDH,HBDH --inaktiv--,U/l,emptyvalue,emptyvalue,emptyvalue,1677-4,Alpha hydroxybutyrate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,http://loinc.org,2.68,U/L,emptyvalue
75,xGQ1B,"Gangliosid GQ1b (IgG, IgM)-Ak [Fremdlabor]",% AK-Ratio,Sonstige Autoantikörper,emptyvalue,emptyvalue,50772-3,Ganglioside GQ1b IgG Ab/IgM Ab [Ratio] in Serum by Immunoassay,http://loinc.org,2.70,%&#123;AK-Ratio},X
76,xGM2,Ganglioside M2 (IgG/IgM)-Ak [Fremdlabor],% AK-Ratio,Sonstige Autoantikörper,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,%&#123;AK-Ratio},X
77,xGM1AS,"Asialogangliosid GM1 (IgG, IgM)-Ak [Fremdlabor]",% AK-Ratio,Sonstige Autoantikörper,emptyvalue,emptyvalue,50769-9,Asialoganglioside GM1 IgG Ab/IgM Ab [Ratio] in Serum by Immunoassay,http://loinc.org,2.70,%&#123;AK-Ratio},X
78,xGM1,"Gangliosid GM1 (IgG, IgM)-Ak [Fremdlabor]",% AK-Ratio,Sonstige Autoantikörper,emptyvalue,emptyvalue,50770-7,Ganglioside GM1 IgG Ab/IgM Ab [Ratio] in Serum by Immunoassay,http://loinc.org,2.70,%&#123;AK-Ratio},X
79,xGD1B,"Gangliosid GD1b (IgG, IgM)-Ak [Fremdlabor]",% AK-Ratio,emptyvalue,emptyvalue,emptyvalue,50768-1,Ganglioside GD1b IgG Ab/IgM Ab [Ratio] in Serum by Immunoassay,http://loinc.org,2.70,%&#123;AK-Ratio},X
80,xGD1A,"Gangliosid GD1a (IgG, IgM)-Ak [Fremdlabor]",% AK-Ratio,Sonstige Autoantikörper,emptyvalue,emptyvalue,50767-3,Ganglioside GD1a IgG Ab/IgM Ab [Ratio] in Serum by Immunoassay,http://loinc.org,2.70,%&#123;AK-Ratio},X
81,xGAAK,Ganglioside-Ak [Fremdlabor],%,Sonstige Autoantikörper,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,%,emptyvalue
82,xDYIGG,IgG (Dialysat),mg/l,IgG Antigene,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
83,xDYigg,IgG (Dialysat),mg,IgG Antigene,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
